title,date
"Guerre en Ukraine, en direct : la Russie affirme avoir tué « plus de 600 militaires » dans une attaque sur Kramatorsk, l’Ukraine dément",
"Guerre en Ukraine, en direct : l’OTAN et l’Union européenne s’engagent à renforcer leur coopération",2023-10-01 06:33:00
Invasion de l’Ukraine en cartes : l’évolution des combats semaine après semaine,2022-11-05 10:12:00
Guerre en Ukraine : la Russie ne contrôle plus que 16 % du territoire ukrainien,2023-05-01 18:08:00
"Vladimir Poutine ordonne un cessez-le-feu en Ukraine les 6 et 7 janvier, à l’occasion du Noël orthodoxe",2023-05-01 19:33:00
Guerre en Ukraine : l’aide militaire occidentale franchit un nouveau seuil,2023-06-01 10:43:00
Vidéo. Guerre en Ukraine : pourquoi la livraison de chars légers par la France peut changer la donne,2023-06-01 17:38:00
Guerre en Ukraine : le mythe Bandera et la réalité d’un collaborateur des nazis,
"Tentative d’insurrection au Brésil, trêve illusoire en Ukraine, LR et la réforme des retraites... Les cinq infos à retenir du week-end",
"Guerre en Ukraine, en direct : duels d’artillerie à Bakhmout, dans l’Est, presque vidée de ses habitants",2023-06-01 20:14:00
"Guerre en Ukraine : l’histoire tragique de Volodymyr Vakoulenko, poète et martyr de l’invasion russe",2023-06-01 06:30:00
"La guerre a fait de l’Ukraine le plus vaste champ de mines au monde, selon le premier ministre ukrainien",
"Guerre en Ukraine : en pleine célébration du Noël orthodoxe, les combats se poursuivent",
"A Koupiansk, en Ukraine, des professeurs sur le banc des accusés après l’occupation de la ville par les Russes",2023-04-01 05:30:00
La France annonce l’envoi de chars légers AMX-10 RC à l’Ukraine,2023-04-01 23:30:00
"Guerre en Ukraine en direct : Vladimir Poutine annonce un cessez-le-feu unilatéral de deux jours, les Etats-Unis livrent de nouveaux véhicules à Kiev",2023-06-01 06:09:00
"Guerre en Ukraine : le Kremlin, ébranlé par le carnage du Nouvel An, prépare son opinion à une nouvelle mobilisation",2023-05-01 12:30:00
Guerre en Ukraine : Emmanuel Macron annonce la livraison de chars de combat légers à Kiev,2023-05-01 06:21:00
Guerre en Ukraine : les Etats-Unis et l’Allemagne vont fournir des véhicules blindés légers à Kiev,2023-05-01 22:10:00
"Guerre en Ukraine : Wikipedia, menacée de blocage en Russie, poursuit sa documentation du conflit",2022-03-15 16:26:00
"Guerre en Ukraine : le bilan de la frappe sur une position russe à Makiïvka monte à 89 morts, reconnaît Moscou",2023-04-01 06:25:00
"Guerre en Ukraine : à Makiïvka, dans le Donbass, des dizaines de soldats russes tués dans le bombardement de leur base",2023-02-01 19:18:00
"« La guerre en Ukraine offre des occasions inespérées à une série de profiteurs, tels que Maduro, Erdogan ou Ben Salman »",2023-04-01 04:30:00
« Le prix du gaz est revenu au niveau d’avant la guerre en Ukraine »,2023-03-01 11:00:00
"Guerre en Ukraine : plus de quatre-vingts drones russes abattus depuis le début de l’année 2023, estime Volodymyr Zelensky",2023-03-01 06:15:00
