id,city,population_2023,latitude,longitude,count
1,Kharkiv,,49.992317,36.231014,6
2,Kherson,,46.54217,33.407932,3
3,Kyiv,,50.450035,30.524136,2
4,Odessa,,46.484303,30.732288,2
5,Donetsk,,48.015877,37.801342,1
6,Irpin,,50.52068,30.244873,1
7,Lviv,,49.841953,24.031591,1
8,Lyman,,43.917637,-99.85816,1
9,Mariupol,,47.095764,37.54996,1
10,Melitopol,,46.846725,35.38273,1
11,Fontanka,,50.113876,31.396305,1
12,Rivne,,51.207413,26.520803,1
13,Sloviansk,,48.85227,37.605824,1
14,Kakhovka,,46.80546,33.48178,52
15,Kreminna,,49.046318,38.217854,39
16,Ternopil,,49.663002,25.61675,30
17,Brovary,,50.511116,30.790049,26
18,Poltava,,49.860783,33.749878,21
19,Saky,,45.131947,33.60013,15
20,Simferopol,,44.952145,34.102486,13
21,Korosten,,50.94911,28.641756,9
22,Yalta,,44.49707,34.158688,6
23,Okhtyrka,,50.31154,34.88689,5
24,Drohobych,,49.3514,23.506166,4
25,Chernihiv,,51.272594,31.741724,4
26,Bucha,,50.88139,11.51337,4
27,Fastiv,,50.07993,29.916283,3
28,Pokrov,,55.9196,39.177277,3
29,Smila,,49.23369,31.882921,3
30,Borova,,49.383812,37.633015,3
31,Berehove,,48.205097,22.645325,3
32,Horlivka,,48.30587,38.002766,2
33,Luka,,45.959244,15.82041,2
34,Cherkasy,,49.146015,31.227175,2
35,Tokmak,,42.837345,75.29539,2
36,Pavlohrad,,48.531677,35.87037,1
37,Buchach,,49.06305,25.389969,1
